,,StockSense Requirements Traceability Matrix,
FR-28.0,Immutable Audit Trail,"Transaction history is visible to Admin users only; no edit or delete buttons exist in the interface; a database-level trigger also blocks any direct attempt to delete audit records","81, 82, 83, 84, 85"
FR-29.0,History Filtering and Sorting,"The history search bar filters displayed records by actor name, item code, item name, destination, or purpose; the Time and Item columns can be sorted ascending or descending","86, 87, 88, 89"
FR-30.0,Server-Side History Pagination,"Transaction history loads 50 records per page; the server returns the total count and page numbers; Prev and Next navigation buttons are automatically disabled at the first and last pages","90, 91, 92"
FR-31.0,CSV Export of Transaction History,"The Export button downloads the currently displayed history as a CSV file; all column names and values match the on-screen table exactly; special characters within values are correctly escaped","93, 94"
FR-32.0,Cross-Browser Compatibility (Chrome and Firefox),"The system uses standard web technologies with no browser-specific features; confirmed to work correctly in Google Chrome and Mozilla Firefox","95, 96"
FR-33.0,Safari and iOS Compatibility (Pending),"Session cookies and date inputs may have different behaviour on Safari and iOS Safari; testing on a physical Apple device has not yet been performed — result is pending",97
FR-34.0,Database Connectivity Validation,"The server queries the live database for real-time counts of total items, allocated stock, low-stock items, and overstocked items; this also confirms that the database connection is active",98
FR-35.0,Production Acceptance and Physical Audit,"All automated tests have passed; a physical count of warehouse stock must be compared to the system's digital figures before final sign-off — this manual step is still pending","99, 100"
FR-36.0,User Registration,"The registration form checks that the username follows the allowed format, the password meets the minimum length, and neither the username nor email already exists; the password is securely hashed before being saved","101, 102, 103, 104, 105"
FR-37.0,Email-Based Login,"The login system accepts either a username or an email address in the username field; a single database query checks both possibilities at once",106
FR-38.0,Secure Password Reset Flow,"A forgot-password request generates a 6-digit code valid for 15 minutes; the code is deleted after one successful use; accounts that do not exist receive the same neutral response to prevent user enumeration","107, 108, 109, 110, 111"
FR-39.0,Stock Allocation Management,"Dedicated endpoints allow stock to be reserved (allocated) or released (deallocated) per item; the server prevents over-reservation or releasing more than currently reserved; every change is logged in the audit trail","112, 113, 114, 115"
FR-40.0,Admin Lockout Management,"Admin can view all user accounts currently under a lockout and manually clear any lockout record; returns a not-found response if the specified account has no active lockout","116, 117"
FR-41.0,Dark Mode Theme Persistence,"The dark mode toggle in the header instantly switches the colour scheme; the chosen setting is saved in the browser so it is automatically restored on the next visit",118
FR-42.0,Per-Item Transaction History,"Any logged-in user (Admin or Staff) can view the 50 most recent transactions for a specific item, ordered with the newest events at the top",119
FR-43.0,Dashboard Statistics Cards,"The stats cards on the dashboard show live counts pulled from the database: total number of items in inventory and how many are currently overstocked; values update automatically after changes","120, 121"
